10.205.34.51,zj-oracle,wx.tomcat.crm-wx-web.01.idc01
10.205.70.83,wx-nginx,wx.nginx.nginx.01.idc01
10.205.70.119,crm-wx-web,wx.tomcat.crm-wx-web.02.idc01
10.205.70.120,crm-wx-web,wx.tomcat.crm-wx-web.03.idc01
10.205.70.82,prod4,wx.tomcat.crm-wx-web.06.idc01
10.205.18.99,prod1,OMG-OMG-01.IDC01
10.205.54.174,omg-gateway-provider,OMG-GATE-PRO-01
10.205.54.175,omg-gateway-provider,OMG-GATE-PRO-02
10.205.54.176,omg-gateway-job,OMG-GATE-JOB-01
10.205.54.177,omg-gateway-mq,OMG-GATE-MQ-01
10.205.54.178,omg-gateway-mq,OMG-GATE-MQ-02
10.205.54.180,omg-sso-main,OMG-SSO-MAIN-02
10.205.54.181,omg-sso-provider,OMG-SSO-PRO-01
10.205.54.182,omg-sso-provider,OMG-SSO-PRO-02
10.205.54.183,omg-datasync-job,OMG-SYNC-JOB-01
10.205.54.184,prod4,OMG2-APP-02.IDC01
10.205.54.82,omg-gateway-provider,OMG-GATE-PRO-03
10.205.54.83,omg-gateway-mq,OMG-GATE-MQ-03
10.205.54.84,omg-sso-main,OMG-SSO-MAIN-03
10.205.54.85,omg-sso-provider,OMG-SSO-PRO-03
